1,0001,Electrical System,Faulty wiring or loose connections,BD0000001
2,0001,Electrical System,Control panel malfunction,BD0000002
3,0001,Electrical System,"Sensor failure (temperature, pressure)",BD0000003
4,0001,Mechanical,Worn or damaged screw and barrel,BD0000004
5,0001,Mechanical,Gearbox failure,BD0000005
6,0001,Mechanical,Hydraulic pump or valve malfunction,BD0000006
7,0001,Mechanical,Broken or misaligned mold clamping system,BD0000007
8,0001,Heating System,Heater band burnout,BD0000008
9,0001,Heating System,Thermocouple failure,BD0000009
10,0001,Heating System,Uneven heating causing material degradation,BD0000010
11,0001,Pneumatic System,Air leaks in blow pin or valves,BD0000011
12,0001,Pneumatic System,Compressor failure or insufficient pressure,BD0000012
13,0001,Cooling System,Blocked water channels in mold,BD0000013
14,0001,Cooling System,Pump failure or insufficient cooling flow,BD0000014
15,0001,Hydraulic System,Hydraulic pump overheating,BD0000015
16,0001,Hydraulic System,Low hydraulic oil level,BD0000016
17,0001,Hydraulic System,Oil contamination,BD0000017
18,0001,Hydraulic System,Cylinder leakage,BD0000018
19,0001,Hydraulic System,Valve block malfunction,BD0000019
20,0001,Lubrication & Wear,"Lack of lubrication in moving parts (gearbox, bearings)",BD0000020
21,0001,Lubrication & Wear,Oil contamination or low oil level,BD0000021
22,0001,Material Feeding,Blockage in hopper or feed throat,BD0000022
23,0001,Material Feeding,Contaminated raw material causing screw jamming,BD0000023
24,0001,Sensor & Control System,PLC program errors,BD0000024
25,0001,Sensor & Control System,Sensor calibration issues,BD0000025
26,0001,Operator/Setup,Incorrect machine setup,BD0000026
27,0001,Operator/Setup,Inadequate cleaning leading to residue buildup,BD0000027
28,0001,Molding/Forming,"Die buildup (carbonized plastic, contamination)",BD0000028
29,0001,Molding/Forming,Die bolts loosening,BD0000029
30,0001,Molding/Forming,Die plate cracking,BD0000030
31,0001,Molding/Forming,Incorrect die temperature,BD0000031
32,0001,Molding/Forming,Internal die blockage causing high back pressure,BD0000032
33,0010,Electrical System,Faulty wiring or loose connections,BD0000033
34,0010,Electrical System,Control panel malfunction,BD0000034
35,0010,Electrical System,"Sensor failure (temperature, pressure)",BD0000035
36,0010,Mechanical,Worn or damaged screw and barrel,BD0000036
37,0010,Mechanical,Gearbox failure,BD0000037
38,0010,Mechanical,Hydraulic pump or valve malfunction,BD0000038
39,0010,Mechanical,Broken or misaligned mold clamping system,BD0000039
40,0010,Heating System,Heater band burnout,BD0000040
41,0010,Heating System,Thermocouple failure,BD0000041
42,0010,Heating System,Uneven heating causing material degradation,BD0000042
43,0010,Pneumatic System,Air leaks in blow pin or valves,BD0000043
44,0010,Pneumatic System,Compressor failure or insufficient pressure,BD0000044
45,0010,Cooling System,Blocked water channels in mold,BD0000045
46,0010,Cooling System,Pump failure or insufficient cooling flow,BD0000046
47,0010,Hydraulic System,Hydraulic pump overheating,BD0000047
48,0010,Hydraulic System,Low hydraulic oil level,BD0000048
49,0010,Hydraulic System,Oil contamination,BD0000049
50,0010,Hydraulic System,Cylinder leakage,BD0000050
51,0010,Hydraulic System,Valve block malfunction,BD0000051
52,0010,Lubrication & Wear,"Lack of lubrication in moving parts (gearbox, bearings)",BD0000052
53,0010,Lubrication & Wear,Oil contamination or low oil level,BD0000053
54,0010,Material Feeding,Blockage in hopper or feed throat,BD0000054
55,0010,Material Feeding,Contaminated raw material causing screw jamming,BD0000055
56,0010,Sensor & Control System,PLC program errors,BD0000056
57,0010,Sensor & Control System,Sensor calibration issues,BD0000057
58,0010,Operator/Setup,Incorrect machine setup,BD0000058
59,0010,Operator/Setup,Inadequate cleaning leading to residue buildup,BD0000059
60,0010,Molding/Forming,"Die buildup (carbonized plastic, contamination)",BD0000060
61,0010,Molding/Forming,Die bolts loosening,BD0000061
62,0010,Molding/Forming,Die plate cracking,BD0000062
63,0010,Molding/Forming,Incorrect die temperature,BD0000063
64,0010,Molding/Forming,Internal die blockage causing high back pressure,BD0000064
